Restaurant,Burrito_Name,Type,Full_Address,URL,Number_of_Reviews,Average_of_Yelp,Average_of_Google,Average_of_Cost,Average_of_Hunger,Average_of_Tortilla,Average_of_Temp,Average_of_Meat,Average_of_Fillings,Average_of_Meat_filling,Average_of_Uniformity,Average_of_Salsa,Average_of_Synergy,Average_of_Wrap,Average_of_overall
Lucha Libre North Park,Holy Moly,Specialty,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,5,3.5,4.3,7.24,2.76,4.46,4.1,3.833333333,3.9,4,3.8,3.8,4,4.1,3.83
Lucha Libre North Park,Nutty,Specialty,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,1,3.5,4.3,7.99,3.5,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2
Lucha Libre North Park,Surf & Turf,Seafood,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,5,3.5,4.3,6.31,3.6,3.2,4.4,3.5,3.5,2.9,2.2,3.2,3.3,4.6,3.36
Lucha Libre North Park,Surfin California,California,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,7,3.5,4.3,6.381428571,3.5,3.428571429,4.285714286,3.357142857,3.285714286,3.857142857,3.571428571,3.071428571,3.571428571,4.785714286,3.642857143
Lucha Libre North Park,Veg Out,Vegetarian,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,1,3.5,4.3,8.25,4,3,2.5,3,3,3,3,3.5,3,3,3
Lucha Libre North Park,Veggie,Vegetarian,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,1,3.5,4.3,8.25,3,5,3,5,4,2,2,5,2,2,2
Lupe's Taco Shop,California,California,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,1,3.5,4.5,7.5,5,3.5,3,2,3,3,2,4,2.5,5,3.5
Lupe's Taco Shop,Hot cheetos,Specialty,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,1,3.5,4.5,3.75,5,4,3,,1,,3,3,2,3,2
Lupe's Taco Shop,Spicy a la Diabla,Specialty,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,1,3.5,4.5,7.5,4,2,3,3,3,4,3,4,3,5,3
Lupe's Taco Shop,Surfin California,California,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,1,3.5,4.5,7.5,2.5,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9
Lupe's Taco Shop,TGunz,Specialty,"7621 Linda Vista Rd, Linda Vista CA",https://www.yelp.com/biz/lupes-taco-shop-san-diego,2,3.5,4.5,7.5,3.25,3.75,4.5,4.75,4,4,4,4.5,4.25,4.25,4.375
Matador Mexican Food,Carne asada,Carne Asada / Beef,"5201 Linda Vista Rd, Morena CA",https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,1,4.5,4,7.5,3,3.5,5,3.5,4,3,3,4,2.5,5,3
Matador Mexican Food,Carnitas,Carnitas / Pork,"5201 Linda Vista Rd, Morena CA",https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,1,4.5,4,7.5,4,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5
Mi Asador Mexican & Seafood ,California ,California,"4750 Oceanside Blvd, Oceanside CA",https://sites.google.com/site/miasador/,1,4.5,4.4,7.5,5,3.5,2,3.5,3.5,3,4,2,2,4,3.5
Mi Asador Mexican & Seafood ,El Hawaiiano ,Specialty,"4750 Oceanside Blvd, Oceanside CA",https://sites.google.com/site/miasador/,1,4.5,4.4,7.5,3,2.5,2.5,3,2,2,1,5,1,5,1.5
Mikes Taco Club,California,California,"5060 Newport Ave, Ocean Beach CA",http://www.mikestacoclub.com/menu/,2,4.5,4.9,7.5,4.5,5,3.5,3.5,3,3.5,2.5,3.5,3.5,3.5,3
Mister Falafel,Chicken Shawarma,Chicken,"4461 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/mister-falafel-san-diego,1,4.5,4.6,7.5,4.5,4,4,3.5,4.5,4,4,5,4.5,4,4
Mr. Ruribertos Taco Shop ,California,California,"3202 Mission Blvd, Mission Beach CA",https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,1,3.5,3.7,4.99,3.5,2.5,2.5,4,2.5,1,1,2,4,0,2.5
Mr. Ruribertos Taco Shop ,Carne asada,Carne Asada / Beef,"3202 Mission Blvd, Mission Beach CA",https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,1,3.5,3.7,4.99,2.5,2,2.5,3.5,2,3,2.5,2,2.5,2.5,2.4
MXN on Washington,Bean and rice grande size,Vegetarian,", Hillcrest CA",(blank),1,,,6.45,3,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5
Netos Mexican Food,California ,California,"325 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/netos-mexican-food-san-marcos,1,4.5,4.1,6.99,4,3,4.5,4,4,3.5,3,4,4,5,4
Netos Mexican Food,Carne adobada ,Carnitas / Pork,"325 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/netos-mexican-food-san-marcos,1,4.5,4.1,5.79,4,3,4.5,4,4,4,5,2.5,3,5,3.6
Nico's Taco Shop,California,California,"3860 Valley Centre Dr #404, Carmel Valley CA",http://www.yelp.com/biz/nicos-taco-shop-san-diego,1,3,2.9,5.79,4,4,3,4,2.5,3.5,4,2,2.5,5,3
Nico's Taco Shop,Carnitas,Carnitas / Pork,"3860 Valley Centre Dr #404, Carmel Valley CA",http://www.yelp.com/biz/nicos-taco-shop-san-diego,1,3,2.9,7.29,3.7,3.8,4.7,4,3.5,4.5,4,4,4.5,5,4
Ortiz's Taco Shop #2,California,California,"1313 Garnet Ave, Pacific Beach CA",https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,3,4,4.2,6.723333333,3.7,4.166666667,3.833333333,3.5,4,4.4,4.5,4.066666667,3.833333333,4.5,4.066666667
Ortiz's Taco Shop #3,California chicken,California,"1313 Garnet Ave, Pacific Beach CA",https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,1,4,4.2,7.15,4,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75
Oscar's Mexican food,California ,California,"225 S Rancho Santa Fe Rd, San Marcos CA",http://www.yelp.com/biz/oscars-mexican-food-san-marcos,1,3.5,3.3,7.9,3.5,4,5,4,4,3,4,3.5,4,4,4.2
Oscar's Mexican food,Carne asada,Carne Asada / Beef,"225 S Rancho Santa Fe Rd, San Marcos CA",http://www.yelp.com/biz/oscars-mexican-food-san-marcos,1,3.5,3.3,6.95,3.5,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6
Oscar's Mexican food,Carnitas,Carnitas / Pork,"225 S Rancho Santa Fe Rd, San Marcos CA",http://www.yelp.com/biz/oscars-mexican-food-san-marcos,1,3.5,3.3,7.9,3.5,4,3.5,4.5,4.5,3.5,3.5,3.5,4,3,4.3
Papa Chito's Mexican Food,California,California,"3951 Governor Dr, University City CA",https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2,2.5,3.3,5.72,4,3.25,5,3.75,3.25,3.25,4.25,4,3.5,5,3.55
Pedro's Tacos,California Burrito,California,", Oceanside CA",(blank),1,,,3.99,4.5,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6
Pokirrito,Mauna Lani,Specialty,"4646 Convoy St, Kearny Mesa CA",https://www.yelp.com/biz/pokirrito-san-diego-2,1,4,4.3,5.99,2.5,3.2,3.8,4.5,2.8,4,2,1.8,3.5,5,4
Pokirrito,Pokirrito classic ,Carnitas / Pork,"4646 Convoy St, Kearny Mesa CA",https://www.yelp.com/biz/pokirrito-san-diego-2,1,4,4.3,6.35,4,4,2.5,4,3,4.5,2,2,3,4,3
Pollos Maria,California,California,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,1,4,3.8,7.65,4.5,3.5,4.5,2.5,2.5,1,1.5,3,2.5,3,2.7
Pollos Maria,Carne asada,Carne Asada / Beef,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,1,4,3.8,6.6,3,4,4,5,5,4.5,3,2,4,4,4
Pollos Maria,combo chicken,Chicken,"3055 Harding St, Carlsbad CA",http://pollosmaria.com/,2,4,3.8,6.45,3.75,4,4.05,4,4,4.25,4.5,4.5,4.25,4.25,4.225
Porkyland ,California,California,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,1,4,4.4,6.6,3.2,1.4,3.7,3,3.2,4.8,2.4,3,2.9,3,3
Porkyland ,Chicken nopalito,Chicken,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,2,4,4.4,7.9,3.5,4,4,3.75,4.25,4.25,3.75,3.25,4,2,4.1
Porkyland ,Deborah's special,Specialty,"4645 Carmel Mountain Rd, Carmel Valley CA",http://goporkyland.com/,1,4,4.4,5.99,4,3.5,3.5,2,3,4.5,4.5,3,3,5,3.2
"Qdoba Mexican Grill, Seatac Airport",Custom,Specialty,"Airport, Seattle CA",(blank),1,,,6.6,4,4,3.5,3.5,3.5,4,3,3.5,3.5,4.5,3
Raul's Mexican food,Carne asada,Carne Asada / Beef,"490 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/rauls-shack-encinitas,1,4,4.2,6.25,4,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2
Raul's Mexican food,Chile verde pork,Carnitas / Pork,"490 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/rauls-shack-encinitas,1,4,4.2,6.1,4,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3
Rigoberto's Taco Shop,Adobada,Carnitas / Pork,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,1,4,4.4,4.95,3,3.5,5,4,4,3.78,5,,4.7,5,4.2
Rigoberto's Taco Shop,Al pastor,Carnitas / Pork,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,1,4,4.4,,4.5,3,4,4,4,4,4,4,4,3,4
Rigoberto's Taco Shop,Bacon breakfast,Breakfast,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,2,4,4.4,7.245,4,2.5,3.25,3.85,4.15,4,2.6,3.75,4,2.85,4.6
Rigoberto's Taco Shop,California,California,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,5,4,4.4,6.44,3.75,3.4,4.1,3.6,2.96,3.84,3.8,3.875,2.7,4.8,3.082
Rigoberto's Taco Shop,California ,California,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,3,4,4.4,6.093333333,3.75,2.666666667,4.7,3.5,3.666666667,3.833333333,3.4,2.766666667,4,4.166666667,3.733333333
Rigoberto's Taco Shop,Campeon,Carne Asada / Beef,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,2,4,4.4,5.5,3,2.75,4.5,3,3.5,3.75,3.75,2.5,4,4.5,3.25
Rigoberto's Taco Shop,Carne asada,Carne Asada / Beef,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,3,4,4.4,5.663333333,3.666666667,3.5,3.833333333,3.333333333,3,3,3.333333333,2.333333333,3,4.833333333,3.266666667
Rigoberto's Taco Shop,Carnitas,Carnitas / Pork,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,2,4,4.4,7.22,3,3.9,2.9,4,3.6,3.875,4.5,3.875,3.7,3.9,4.1
Rigoberto's Taco Shop,Chile Relleno,Vegetarian,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,2,4,4.4,5.97,2.5,3,3.5,4.25,3.5,4,2.5,3.75,3.5,3.5,3.95
Rigoberto's Taco Shop,El Rusio,Specialty,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,1,4,4.4,6.5,3,3,4.5,3.5,1.5,1.5,2,3.2,2,4.5,2.2
Rigoberto's Taco Shop,Fish,Seafood,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,1,4,4.4,6.99,3.5,2,5,4.2,3,4.7,5,3.7,4.2,5,4
Rigoberto's Taco Shop,Surf & Turf,Seafood,"7094 Miramar Rd, Miramar CA",https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,1,4,4.4,,3.5,4,5,4.5,4.2,4.7,4.4,4,4.9,5,4.6
Rigoberto's Taco Shop La Jolla,California,California,"7345 La Jolla Blvd, La Jolla CA",https://www.yelp.com/biz/rigobertos-la-jolla-2,4,2.5,4,6.6375,3.5125,3.25,4,3.8125,3.25,3.25,3.75,2.75,3.375,3.925,3.6875
Roberto's Taco Shop Clairemont,California,California,"3095 Clairemont Dr, Clairemont CA",https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,2,4,4,6.25,3.5,4,4,2,2.75,3.75,3.5,3.5,3.5,4.5,3.5
Roberto's Taco Shop Clairemont,California + Guac + sour cream,California,"3095 Clairemont Dr, Clairemont CA",https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,1,4,4,10.5,3,2,2.5,3.3,3.5,1.5,4,2.5,2.5,3,3.1
Roberto's Taco Shop Clairemont,Carne asada,Carne Asada / Beef,"3095 Clairemont Dr, Clairemont CA",https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,1,4,4,6.75,3,4.5,4.7,4.5,3.5,4,4.5,4.5,3.5,5,4.2
Roberto's Taco Shop Hillcrest,Asada,Carne Asada / Beef,"420 Robinson Ave, Hillcrest CA",https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,1,4,4.2,7.9,4,5,5,4,5,5,3,4,5,3,5
Roberto's Taco Shop Hillcrest,California,California,"420 Robinson Ave, Hillcrest CA",https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,2,4,4.2,7.445,4.15,4.4,4.5,3.5,4.2,4.5,4,3.65,3.65,4.5,4.25
Roberto's Taco Shop Hillcrest,California Surf and Turf,California,"420 Robinson Ave, Hillcrest CA",https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,1,4,4.2,7.9,4,3,5,5,4,5,4,3,5,2,4.5
Roberto's Taco Shop Hillcrest,Golden State,Specialty,"420 Robinson Ave, Hillcrest CA",https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,1,4,4.2,7.9,3.5,4,3.5,4.7,4,4.5,4.5,4.5,4,3.5,4.7
Roberto's Very Mexican Food,Carnitas,Carnitas / Pork,"2206 Carmel Valley Road, Del Mar CA",https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,1,3.5,3.9,6.25,3,3.5,5,4,3,4,3,3.5,3.5,3,3.7
Roberto's Very Mexican Food,Chicken asada,Chicken,"2206 Carmel Valley Road, Del Mar CA",https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,1,3.5,3.9,6.99,4,4.5,4.5,4,4.5,4,4,3.5,4.5,5,4.5
Rubios UCSD,Grilled fish salmon,Seafood,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/rubios-la-jolla-4,1,3.5,3.4,7,3.5,4,4,3.5,4,4,3.5,4.5,4,3.5,3.7
Rubios UCSD,Tilapia one,Seafood,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/rubios-la-jolla-4,1,3.5,3.4,7.25,4,4,4,5,4.5,4,3.5,5,4.5,5,4.4
Rudy's Taco Shop,Carnitas,Carnitas / Pork,"524 Stevens Ave, Solana Beach CA",http://www.rudystacoshop.com/,1,4,4.3,6.49,3,3.5,4,3,4,3.5,4,3,4,4.5,3.5
Rudy's Taco Shop,Chicken,Chicken,"524 Stevens Ave, Solana Beach CA",http://www.rudystacoshop.com/,1,4,4.3,6.99,3.5,3.5,2.5,4,3.5,3,2.5,2.5,4.5,0.5,3.8
Saguaro's ,Vegetarian,Vegetarian,"3753 30th St, San Diego CA",(blank),1,,,5.99,3.5,2,3,3.8,2.5,2.5,3,2.5,3,2.6,3.2
Senor Grubby's,California,California,"377 Carlsbad Village Dr, Carlsbad CA",eatgrubbys.com,1,4,4.1,5.65,3,4,1.5,2,3,4.2,4,3,2,4.5,2.7
Senor Grubby's,Pastor,Carnitas / Pork,"377 Carlsbad Village Dr, Carlsbad CA",eatgrubbys.com,1,4,4.1,5.49,3,4.5,5,2,2,2.5,3.5,3,2.5,3,2
Senor Panchos,California,California,"1909 W San Marcos Blvd, San Marcos CA",https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,1,4,4.2,7.75,4,4,4.5,2,2,3.5,3.5,2,2,4,3
Senor Panchos,Pollo asado,Chicken,"1909 W San Marcos Blvd, San Marcos CA",https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,1,4,4.2,7.75,4,3.5,2.5,3,3.3,1.4,2.3,2.2,3.3,4.5,2.9
Sotos Mexican Food,California,California,"6904 Miramar Rd, Miramar  CA",https://www.yelp.com/biz/sotos-mexican-food-san-diego,1,4.5,4.6,6.99,3.7,3.6,4,4,3,3.8,4.3,,3.8,2,3.5
Sotos Mexican Food,Pastor,Carnitas / Pork,"6904 Miramar Rd, Miramar  CA",https://www.yelp.com/biz/sotos-mexican-food-san-diego,1,4.5,4.6,6.6,,4,4.5,4,3.5,3.5,5,1.5,3.5,4.5,3.7
Storehouse Kitchen ,Breakfast,Breakfast,"2236 Avenida De La Playa, La  Jolla CA",(blank),1,,,6.6,,4,2,,4,,4.6,4.2,3.75,5,3.9
Taco Stand,Al pastor,Carnitas / Pork,"3695 India St, San Diego CA",http://elindiosandiego.com/,4,3.5,3.9,7.41,3.3,4,3.75,4.1,3.75,3.8,3.25,3.75,3.95,4.125,4
Taco Stand,California,California,"3695 India St, San Diego CA",http://elindiosandiego.com/,7,3.5,3.9,7.013333333,3.685714286,3.242857143,3.75,3.742857143,3.828571429,3.642857143,3.214285714,3.3,3.642857143,4.557142857,3.757142857
Taco Stand,California,California,"621 Pearl St, La Jolla CA",http://letstaco.com/,1,4.5,4.4,8.5,3.9,3,4.5,4.1,3,3.7,4,4.3,4.2,5,3.9
Taco Stand,California,California,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,2,4,4.4,6.14,3.5,2.75,3.25,3.25,3,3,2.75,2.85,2.6,4.1,3.35
Taco Stand,California ,California,"3695 India St, San Diego CA",http://elindiosandiego.com/,4,3.5,3.9,7.0625,3.75,3.875,3.375,3.875,3.875,4,4.125,3.875,3.95,4.45,3.9625
Taco Stand,Carne asada,Carne Asada / Beef,"3695 India St, San Diego CA",http://elindiosandiego.com/,4,3.5,3.9,7.6175,4,4.125,4,3.875,3.325,3.75,2.075,3.666666667,3.5,3.05,3.4875
Taco Stand,Shrimp,Seafood,"3695 India St, San Diego CA",http://elindiosandiego.com/,1,3.5,3.9,7.9,2.5,3,4.5,4.3,4,3,3.1,3.9,4.2,3,4.1
Taco Stand,Surf and turf ,Seafood,"621 Pearl St, La Jolla CA",http://letstaco.com/,1,4.5,4.4,7.9,4,3.5,4,4,3,4,4.5,4,3.8,4.8,3.8
Taco Stand Encinitas,California,California,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,1,4,4.4,6.5,4,3,3,4,4,4,4,3,4,4,4
Taco Stand Encinitas,California ,California,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,2,4,4.4,5.75,4,4,4,4.25,3.9,4,3.75,3.4,4.15,4.25,4
Taco Stand Encinitas ,California,California,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,1,4,4.4,6.75,4,3,5,5,,,5,,4,5,4.5
Taco Surf PB,California,California,"4657 Mission Blvd, Pacific Beach CA",https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,2,4,4.6,7.675,3.75,4,4.5,3.9,3.4,3.75,4.25,3.7,3.9,5,3.95
Taco Surf PB,Carne asada,Carne Asada / Beef,"4657 Mission Blvd, Pacific Beach CA",https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,1,4,4.6,5.99,4,2,4.5,4.5,3,3.8,4.4,2.5,3.5,3,4
Taco Villa,Al pastor,Carnitas / Pork,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3,3.5,3.5,8.55,3.433333333,3.833333333,4,3.733333333,3.333333333,2.6,2.433333333,3.333333333,3.566666667,4.1,3.766666667
Taco Villa,Bean & cheese,Vegetarian,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,6.85,4,3.5,5,3.3,3,5,2,3,3.8,3.5,3.9
Taco Villa,Breakfast,Breakfast,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,6.25,3,4.5,4.5,3.7,3.5,4,3.5,3,4,4.5,4
Taco Villa,California,California,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,2,3.5,3.5,8.47,4.1,3.25,4.5,3.5,2,2.75,2.75,3,2.6,3.75,2.9
Taco Villa,California ,California,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,6.25,4.4,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7
Taco Villa,Carne asada,Carne Asada / Beef,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,2,3.5,3.5,7.445,3.75,3,3,3.25,3,3.75,3.25,3.75,3.4,3.15,3.45
Taco Villa,Carnitas,Carnitas / Pork,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,5,3.5,3.5,7.386,3.8,3.7,4.14,3.36,3.34,4,3.9,2.88,3.28,4.7,3.56
Taco Villa,Chicken,Chicken,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,6.85,4,4,5,4,4,5,3.5,2,3.5,4,4
Taco Villa,Chicken and rice,Chicken,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,10,4.2,3,4.5,3.5,3.5,2.5,2,3,3.5,4.5,3.5
Taco Villa,Pollo asado,Chicken,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,7.4,3.3,5,4,4.2,3.5,2.9,3,4,4,4,4
Taco Villa,Shrimp with guac,Seafood,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,8.99,4,3.5,3,3.5,3.5,4,2,4,4,4,3.4
Taco Villa,Tejano,Specialty,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,1,3.5,3.5,7.75,2.5,4,4,2.6,3.6,4,4,3.6,4,4,2.9
Tacos La Bala,Barbacoa ,Carne Asada / Beef,"5800 Bellaire Blvd, Houston CA",tacoslabala.com,1,4.5,4.1,6.9,4.3,3,3,3.5,3.5,3.5,3.5,3.8,4,5,3.7
Tacos La Bala,Pastor,Carnitas / Pork,"5800 Bellaire Blvd, Houston CA",tacoslabala.com,1,4.5,4.1,7.89,4,3,,4,4,4.5,4,4.5,4.5,5,4.5
Tacos por favor,Al pastor,Carnitas / Pork,"1408 Olympic Blvd, Santa Monica CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,1,4,4.1,7.8,2.5,3,2,3.5,3,3,4,3,3.8,4.5,3.5
Tacos por favor,Carne asada,Carne Asada / Beef,"1408 Olympic Blvd, Santa Monica CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,2,4,4.1,7.055,2.75,2.75,2.75,2.75,3.25,4,3.65,3.6,3.05,3,3.25
Tony's Fresh Mexican Food,battered fish ,Seafood,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,1,3,4.1,6.47,4,1,2,2,2,3,3,1,2,3,2
Tony's Fresh Mexican Food,California,California,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,2,3,4.1,6.455,3.5,3.35,3,3.5,3.5,3,3.65,3.75,3.65,3,3.5
Tony's Fresh Mexican Food,Chile verde pork,Carnitas / Pork,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,1,3,4.1,5.56,4,4,4,4,3,4,2,4,3,3,4
Valentines Mexican Food,California,California,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,4,7.5,4.125,3.875,4.375,4.125,3.875,4.375,3.925,3.95,4.15,4.075,4.25
Valentines Mexican Food,California ,California,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,1,4,4,6.99,3,3,4.5,2,3,2.5,4,2,2,4,2
Valentines Mexican Food,California Chipotle,California,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,1,4,4,6.99,4,4,,3.5,3.5,3.5,3.5,3.5,3.5,5,3.7
Valentines Mexican Food,Carne asada,Carne Asada / Beef,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,2,4,4,16.75,3.9,3.9,4.45,3.5,3.9,3.5,3.25,3.75,3.75,4,4.1
Valentines Mexican Food,Pork california,Chicken,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,1,4,4,8.5,4,4,4,3.75,4,3.5,3.5,4,5,3.5,4
Vallarta Express,California,California,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,5,3.5,4,7.596,3.9,3.8,4.2,4.16,4.26,3.94,3.8,4,4.36,3.76,4.31
Vallarta Express,Carne asada,Carne Asada / Beef,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,6.47,4,3,3,2,2.5,1.5,2.5,2.5,3,5,3.2
Vallarta Express,Fish,Seafood,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,8.5,3.5,3.5,4,4.5,4,3,4,3.5,4.5,5,4.3
Vallarta Express,Mahi,Seafood,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,6.99,3.5,4,4,4,4.5,4,3.5,4,4,4,4.3
Vallarta Express,Philly ,Specialty,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,7.1,3,3.5,5,4,4,4.5,4.75,3.75,4,5,4.2
Vallarta Express,Quesa,Vegetarian,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,8.94,3.5,2.5,3.5,3.5,3.5,3.5,4,3,3.5,4.5,3.8
Vallarta Express,Quesaburro,Vegetarian,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,6.99,4,4,5,3.5,3.8,3,2.5,3.3,4,5,3.7
Vallarta Express,Surf & Turf,Seafood,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,11.5,3.5,2,2,4,3.5,3,4.5,3.5,4,2,3.5
Vallarta Express,Surf and Turf,Seafood,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,1,3.5,4,5.99,2,2,2.5,4,3,4,3.5,3,3,5,3.8
